,TIME,AVG,AVG.1,AVG.2,AVG.3,AVG.4,AVG.5,AVG.6,AVG.7
78,39.0,53.184642064500004,56.036082139775004,49.85203533213333,69.19077993844999,68.340720903775,43.78642538766667,30.367774782866665,23.8324175824
79,39.5,53.054340127725,55.26537966475,49.99449158246667,69.4989379363,68.085223358225,44.8254529974,28.8474810214,19.38775510205
80,40.0,51.9554467207,54.113859760174996,50.60947587263333,69.08507863119999,69.2670146924,44.781972929400006,27.715670643833334,22.81676413255
81,40.5,54.4099319125,53.761226842175,50.824248389833336,71.08418891727501,68.44077394840001,44.680568642433336,27.4494475714,23.687227700050002
82,41.0,54.070794110875006,54.864267367375,48.56137923083333,69.37783228709999,69.508023770775,43.01832324720001,27.30715287516667,25.13149589735
83,41.5,54.905742155024996,55.843193266975,50.4845971801,70.57050092765,70.08759067757501,42.35359072963333,25.914531521533334,26.417525773199998
84,42.0,56.083246128649996,54.6911773664,50.9666488318,70.395566276525,69.1720064305,42.64338733806667,26.224231096033336,20.1782646048
85,42.5,54.525235928499995,55.529594870225,51.3761033614,68.610105408775,66.17107668852499,43.02142254976667,24.31276910933333,20.9831460674
86,43.0,53.66753542405,57.10473713175,51.617187108100005,71.3784108291,69.422058536825,43.9496996997,25.062279061433333,26.015325670499998
87,43.5,53.346502338225,56.746960396525,51.573492389833326,70.02202540420001,67.5978990394,42.8060924986,25.54168092143333,20.9175084175
88,44.0,53.670325509449995,57.180337597925,51.26907099456667,69.0277247331,67.3555152945,42.293903239799995,22.28082030883333,25.3964194373
89,44.5,53.53244596592501,55.852964421975,52.048157165800006,68.7521566909,68.3491777266,40.597118069766665,22.844880741266664,27.2727272727
90,45.0,53.561259710575,55.8852179864,50.585722832066665,70.4510488608,67.046693432575,42.2622794301,22.473107554666665,21.78822658275
91,45.5,55.243502517450004,53.979107055125,53.62898869446667,69.07179634515,68.1279782355,40.58084743726667,19.17287940996667,21.102941176450003
92,46.0,54.586914779475,55.044540846974996,51.281492284066665,67.95398133045,66.6534203395,40.730789493466666,19.900050655433333,25.38011695905
93,46.5,55.212942090975005,55.430869167024994,54.0147734039,67.78863743925,69.50888430295001,40.7429149505,20.790871498333335,20.87114337565
94,47.0,52.916181236525,57.34750926375,50.56106387863334,67.7149764526,65.82994684582499,39.3326713251,19.986043964133334,19.8265550239
95,47.5,51.624787073675,57.7023470875,50.018537336166666,69.70971565355,65.3729454312,39.520591895866666,19.425648302633334,17.09935897435
96,48.0,46.283573933925005,50.534060879725004,47.53728705753333,62.543415554325,85.88808108555,69.9720113185,74.53360131929999,61.792684927050004
97,48.5,47.71337971025,51.61691088364999,48.04448276033333,65.609287455325,64.48909743915,42.1558258417,18.2870027544,14.77272727275
98,49.0,48.71718225395,50.568802448425004,48.99381519433334,65.409075907475,63.85363629325,41.11153727123333,17.795459305233333,16.1316211878
99,49.5,49.410890699775,51.145438953375,49.4498415622,65.581795795125,65.27593564827501,41.5144896216,16.7954042082,16.0469667319
100,50.0,51.040990651675,51.098079267475,50.512398078733334,65.901940992725,65.38038362534999,39.044042148500004,18.636544134333334,16.40410958905
101,50.5,51.2800072571,50.268130338700004,50.77420546403334,66.939652648775,65.137550849825,40.317122017866666,18.224592773599998,11.011904761905
102,51.0,52.433561831175,50.529813027050004,51.440137169100005,66.80948112179999,64.8361128372,38.94449014043333,16.3431760637,14.14695945945
103,51.5,51.957672691975,52.4630553996,52.66389842946666,65.308092948725,64.718031193625,37.613211119566664,16.19538186033333,13.04450757575
104,52.0,52.80538174815,52.93090358885,52.791173917399995,66.63839722784999,66.02380952382501,36.27323136803333,15.782056882966666,17.2619047619
105,52.5,56.0111768707,54.880913159274996,52.72072737643333,68.6688485713,64.85315327815,36.33422648566667,13.468700320773332,13.929618768320001
106,53.0,56.319262595875,54.19162818465,54.46910651183333,67.52914504065001,68.112508939525,36.1803713528,13.281317270303333,14.263322884
107,53.5,55.30459631645,53.15752041885,53.232628609399995,67.805211014625,67.3817755988,34.61539203206667,14.927953163236666,16.02564102565
108,54.0,56.6119965633,53.053159071025,53.8221495672,66.98887497195,66.2329028053,32.541579131633334,13.630790763846669,17.775175644035002
109,54.5,58.0019579728,54.831428622225,53.190419616899995,66.93694250222501,67.338982462425,32.3388173103,13.291606807733332,16.37426900585
110,55.0,60.514072159375,53.840333885575,56.86245928830001,70.01644285105,66.810073912325,33.62934452456667,13.755074105533334,14.361300075599999
111,55.5,58.6225261672,53.0041927372,56.78400186206667,68.930883332325,65.64573929139999,33.516261879000005,16.010848783940002,13.3542319749
112,56.0,57.859364809125,54.342885492,56.38865232333333,67.42289264587501,63.6277321657,33.8591899057,14.5043294408,13.337670787225
113,56.5,57.3812195329,52.189153463375,56.96977212743334,66.44882953332501,64.12544299565,34.39858923606667,14.182077182066669,18.45194424065
114,57.0,56.549421846799994,53.436374382675,56.3899251457,66.85696928375,64.345714485325,33.1133732535,15.766487845699999,14.099326599314999
115,57.5,58.1352597176,53.996426721925005,56.47079428193333,65.66266589985,62.732869395375005,30.9350414832,14.316907101343332,15.886287625405
116,58.0,57.5011703677,54.248466956475,58.32519724526666,66.04909960479999,62.849323728075,31.988789555833335,12.421414519413332,17.260869565215
117,58.5,57.7591500151,55.677833021125004,58.8458224948,66.86334022220001,60.485118717925005,32.1247560238,12.748437846899998,19.59887403236
118,59.0,59.914952190175,55.6685204335,60.1710116177,65.9715858829,61.8640893832,33.11207211286667,14.927536231883332,15.625
119,59.5,58.724493217675,54.6720359717,61.13808884703334,64.070180012975,60.823073289899995,30.469812266133335,14.121444591176664,16.1224489796
120,60.0,58.25397287315,54.899205143825,61.264948181899996,63.355309475649996,59.094912540050004,30.97103513766667,14.9136692342,18.45194424065
121,60.5,57.742032692775005,53.360630426250005,61.65616828396667,61.9166791268,60.634758119699995,29.3763434724,13.564753683933333,17.5324675325
122,61.0,58.175423382975,52.190619629925,61.8203561654,62.902167834725,58.83527680195,28.79461492296667,11.810555345053336,14.82371794875
123,61.5,57.573610507425,51.669190180175,61.03267064876667,61.89421725495,59.577314526775005,29.0967365967,14.5182884981,10.26785714285
124,62.0,56.1436273975,55.117722998225005,61.084170264,61.0261325773,58.36334569465,29.722479351900002,12.762103796583332,13.03986710965
125,62.5,55.39308057584999,53.608068372225,61.41670474046666,60.9743900772,56.338178481499995,28.92861547136667,14.170185913336667,12.45074862095
126,63.0,55.790647605725,51.018211831049996,60.33641985933334,60.27212781750001,56.167114613425,27.9828454849,13.5582010582,21.064814814800002
127,63.5,56.749053660849995,50.4892625624,61.71265876703333,59.748152964925005,58.22199913015,24.552779798966668,10.878511361580001,14.28571428575
128,64.0,56.527071742525,51.37817276667499,61.17921332006667,58.096189121175,55.01528535107499,24.365436543633336,12.188345423633335,19.2754919499
129,64.5,57.387419401225,50.712551163624994,62.03151447863333,58.80622200545,56.601996043025,23.993284375433333,12.343739087933331,21.5909090909
130,65.0,55.665357336475,51.51604739415,61.947353732766665,58.543025713275,57.028837188375,23.59477124183333,14.091799673173332,21.4821763602
131,65.5,55.684896168499996,51.935069559300004,62.677392217400005,58.42654453075,55.2736171437,26.233488733466668,12.437280395916666,22.32142857145
132,66.0,57.090547623800006,52.085298881375,63.04745906776666,55.550529912100004,54.519169825475,24.530841872599996,12.932354955813333,23.1623931624
133,66.5,56.910432390850005,51.414913009925,64.37467549670001,54.977156212625,54.06898001335,25.4254389928,11.909518524383332,20.1395348837
