plateID,well,field,n_0,time_slice,elapsed_minutes,Drug1,Drug1Concentration,Drug2,Drug2Concentration,treatment,cell_cycle_state_threshold,n,length,Nuclei_CKn_NR_area,Nuclei_CKn_CC_mean_intensity,Cyto_CKn_CC_mean_intensity,Cell_CKn_CC_mean_intensity_ratio,Cell_CKn_CC_max_intensity_ratio,Cell_CKn_CC_min_intensity_ratio,G1_proportion,neighborhood_20,neighborhood_45,neighborhood_70,drugs,cell_count_norm_T0
HC00701,C1,1,143,02d23h30m,4290,BEZ235,10,none,none,BEZ235_10,0.8,219,85.61,193.12,409.97,270.73,0.75,0.9,0.67,0.45,1.95,4.47,6.47,BEZ235,1.5314685314685315
HC00701,C1,1,143,03d00h00m,4320,BEZ235,10,none,none,BEZ235_10,0.8,219,85.61,192.9,404,269.96,0.76,0.9,0.68,0.47,1.98,4.53,6.59,BEZ235,1.5314685314685315
HC00701,C1,1,143,03d00h30m,4350,BEZ235,10,none,none,BEZ235_10,0.8,221,85.21,191.62,402.2,266.42,0.76,0.9,0.68,0.46,1.9,4.45,6.48,BEZ235,1.5454545454545454
HC00701,C1,1,143,03d01h00m,4380,BEZ235,10,none,none,BEZ235_10,0.8,220,85.12,194.91,397.81,264.1,0.76,0.91,0.67,0.45,1.86,4.25,6.35,BEZ235,1.5384615384615385
HC00701,C1,1,143,03d01h30m,4410,BEZ235,10,none,none,BEZ235_10,0.8,219,85.05,194.88,404.47,268.8,0.75,0.91,0.67,0.47,1.84,4.19,6.16,BEZ235,1.5314685314685315
HC00701,C1,1,143,03d02h00m,4440,BEZ235,10,none,none,BEZ235_10,0.8,224,83.25,190.59,403.82,268.76,0.75,0.9,0.67,0.45,1.93,4.27,6.23,BEZ235,1.5664335664335665
HC00701,C1,1,143,03d02h30m,4470,BEZ235,10,none,none,BEZ235_10,0.8,226,82.85,189.53,404.56,268.69,0.75,0.9,0.67,0.44,2.03,4.39,6.32,BEZ235,1.5804195804195804
HC00701,C1,1,143,03d03h00m,4500,BEZ235,10,none,none,BEZ235_10,0.8,227,81.84,186.46,406.83,269.31,0.75,0.9,0.67,0.46,2.06,4.33,6.25,BEZ235,1.5874125874125875
HC00701,C1,1,143,03d03h30m,4530,BEZ235,10,none,none,BEZ235_10,0.8,225,82.21,186.68,403.84,273.56,0.76,0.91,0.67,0.44,2.03,4.35,6.4,BEZ235,1.5734265734265733
HC00701,C1,1,143,03d04h00m,4560,BEZ235,10,none,none,BEZ235_10,0.8,226,81.52,190.37,407.59,272.22,0.75,0.9,0.67,0.46,2,4.39,6.42,BEZ235,1.5804195804195804
HC00701,C1,1,143,03d04h30m,4590,BEZ235,10,none,none,BEZ235_10,0.8,227,80.45,192,410.34,268.1,0.74,0.9,0.67,0.44,2.04,4.39,6.47,BEZ235,1.5874125874125875
HC00701,C1,1,143,03d05h00m,4620,BEZ235,10,none,none,BEZ235_10,0.8,224,80.83,191.58,403.91,264.98,0.75,0.89,0.67,0.46,1.99,4.22,6.37,BEZ235,1.5664335664335665
HC00701,C1,1,143,03d05h30m,4650,BEZ235,10,none,none,BEZ235_10,0.8,225,80.38,191.03,398.79,267.27,0.76,0.89,0.68,0.47,2.03,4.33,6.44,BEZ235,1.5734265734265733
HC00701,C1,1,143,03d06h00m,4680,BEZ235,10,none,none,BEZ235_10,0.8,225,79.72,188.25,399.98,269.95,0.76,0.9,0.67,0.47,2.02,4.34,6.4,BEZ235,1.5734265734265733
HC00701,C1,1,143,03d06h30m,4710,BEZ235,10,none,none,BEZ235_10,0.8,225,79.5,192.44,397.44,265.77,0.76,0.9,0.67,0.48,1.98,4.4,6.48,BEZ235,1.5734265734265733
